Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
waitForElementVisible,Chrome 65.0.3325.162,,2018-03-22 09:49:28,2018-03-22 09:49:31,3.052s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u6210\u54C1\u7BA1\u7406,2018-03-22 09:49:31,2018-03-22 09:49:32,0.124s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,\u7B49\u5F85\u6210\u54C1\u5217\u8868\u5B50\u83DC\u5355,2018-03-22 09:49:32,2018-03-22 09:49:32,0.068s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u6210\u54C1\u5217\u8868,2018-03-22 09:49:32,2018-03-22 09:49:33,1.087s,PASSED
delay,Chrome 65.0.3325.162,,2018-03-22 09:49:33,2018-03-22 09:49:37,4.003s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u7528\u9014,2018-03-22 09:49:37,2018-03-22 09:49:37,0.221s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u641C\u7D22,2018-03-22 09:49:37,2018-03-22 09:49:37,0.164s,PASSED
delay,Chrome 65.0.3325.162,\u7B49\u5F85\u641C\u7D22\u7ED3\u679C,2018-03-22 09:49:37,2018-03-22 09:49:40,3.001s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u5237\u65B0,2018-03-22 09:49:40,2018-03-22 09:49:40,0.219s,PASSED
delay,Chrome 65.0.3325.162,\u7B49\u5F85\u5217\u8868\u6570\u636E,2018-03-22 09:49:40,2018-03-22 09:49:42,2.002s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u7528\u9014,2018-03-22 09:49:42,2018-03-22 09:49:43,0.210s,PASSED
delay,Chrome 65.0.3325.162,\u7B49\u5F85\u4E8C\u7EA7\u5206\u7C7B,2018-03-22 09:49:43,2018-03-22 09:49:45,2.003s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u4E8C\u7EA7\u5206\u7C7B,2018-03-22 09:49:45,2018-03-22 09:49:45,0.612s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u641C\u7D22,2018-03-22 09:49:45,2018-03-22 09:49:45,0.085s,PASSED
delay,Chrome 65.0.3325.162,\u7B49\u5F85\u641C\u7D22\u7ED3\u679C,2018-03-22 09:49:45,2018-03-22 09:49:47,2.003s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u5237\u65B0,2018-03-22 09:49:47,2018-03-22 09:49:47,0.103s,PASSED
delay,Chrome 65.0.3325.162,\u7B49\u5F85\u5217\u8868\u6570\u636E,2018-03-22 09:49:47,2018-03-22 09:49:49,2.003s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u7528\u9014,2018-03-22 09:49:49,2018-03-22 09:49:50,0.189s,PASSED
delay,Chrome 65.0.3325.162,\u7B49\u5F85\u4E8C\u7EA7\u5206\u7C7B,2018-03-22 09:49:50,2018-03-22 09:49:52,2.003s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u4E8C\u7EA7\u5206\u7C7B,2018-03-22 09:49:52,2018-03-22 09:49:52,0.380s,PASSED
delay,Chrome 65.0.3325.162,\u7B49\u5F85\u4E09\u7EA7\u5206\u7C7B,2018-03-22 09:49:52,2018-03-22 09:49:54,2.002s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u4E09\u7EA7\u5206\u7C7B,2018-03-22 09:49:54,2018-03-22 09:49:54,0.350s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u641C\u7D22,2018-03-22 09:49:54,2018-03-22 09:49:54,0.124s,PASSED
delay,Chrome 65.0.3325.162,\u7B49\u5F85\u641C\u7D22\u7ED3\u679C,2018-03-22 09:49:54,2018-03-22 09:49:56,2.002s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u5237\u65B0,2018-03-22 09:49:56,2018-03-22 09:49:57,0.112s,PASSED
delay,Chrome 65.0.3325.162,\u7B49\u5F85\u5217\u8868\u6570\u636E,2018-03-22 09:49:57,2018-03-22 09:49:59,2.003s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u7528\u9014,2018-03-22 09:49:59,2018-03-22 09:49:59,0.167s,PASSED
delay,Chrome 65.0.3325.162,\u7B49\u5F85\u4E8C\u7EA7\u5206\u7C7B,2018-03-22 09:49:59,2018-03-22 09:50:01,2.002s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u4E8C\u7EA7\u5206\u7C7B,2018-03-22 09:50:01,2018-03-22 09:50:01,0.357s,PASSED
delay,Chrome 65.0.3325.162,\u7B49\u5F85\u4E09\u7EA7\u5206\u7C7B,2018-03-22 09:50:01,2018-03-22 09:50:03,2.000s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u4E09\u7EA7\u5206\u7C7B,2018-03-22 09:50:03,2018-03-22 09:50:03,0.370s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u641C\u7D22\u5173\u952E\u5B57,2018-03-22 09:50:03,2018-03-22 09:50:04,0.348s,PASSED
